iter	RMSE
435	0.2450784139
436	0.2446690477
437	0.2445098751
438	0.244291317
439	0.2439958955
440	0.2438646233
441	0.2437217734
442	0.24355819
443	0.2432732937
444	0.2428455077
445	0.2425806432
446	0.2424643739
447	0.2420558181
448	0.2416404429
449	0.2411878766
450	0.2410588975
451	0.2406601712
452	0.2404615112
453	0.2400030617
454	0.2399492107
455	0.2397508423
456	0.2393915647
457	0.2390528694
458	0.2389014462
459	0.2387358088
460	0.2386453947
461	0.238221135
462	0.2380663284
463	0.2379234015
464	0.2377278634
465	0.2375762505
466	0.2373896147
467	0.2372430489
468	0.2372212255
469	0.2369298656
470	0.2366658611
471	0.2363398474
472	0.2362868375
473	0.2359533034
474	0.2354731744
475	0.2353717474
476	0.2351529062
477	0.2348816241
478	0.2347245518
479	0.2346218399
480	0.2345025236
481	0.2341635076
482	0.233700608
483	0.2335788486
484	0.2334793732
485	0.2331737875
486	0.2328548294
487	0.2326085808
488	0.2322986466
489	0.2319865557
490	0.2318372537
491	0.2315346663
492	0.2312209162
493	0.2308026644
494	0.230386974
495	0.2303560853
496	0.2302411587
497	0.230069209
498	0.2299246715
499	0.2298994777
500	0.2297168409
501	0.2295989438
502	0.2294255504
503	0.2290287313
504	0.2287077233
505	0.22856438
506	0.2283503978
507	0.2283195075
508	0.2279004804
509	0.227790994
510	0.2275394411
511	0.227042011
512	0.2269388268
513	0.2267984447
514	0.226580727
515	0.2264851296
516	0.2262504319
517	0.2261933181
518	0.226015655
519	0.2255293189
520	0.22517585
521	0.2248077223
522	0.2247240422
523	0.2246559579
524	0.22428163
525	0.224096322
526	0.2240398105
527	0.223755923
528	0.2235830335
529	0.2234109965
530	0.2232592296
531	0.2229870586
532	0.2228272002
533	0.2223867459
534	0.2222679551
535	0.2220952828
536	0.2218935558
537	0.2214871264
538	0.2212914074
539	0.2212289002
540	0.2210555537
541	0.2208274457
542	0.2206630574
543	0.2204391343
544	0.2202644014
545	0.2199797729
546	0.2197384487
547	0.2196559663
548	0.2194020375
549	0.2191034937
550	0.2185718387
551	0.2184366736
552	0.2181396653
553	0.2180536595
554	0.2179251526
555	0.2175427081
556	0.2173106437
557	0.2171897521
558	0.2169018631
559	0.2168884807
560	0.2167715286
561	0.2163524224
562	0.2162541911
563	0.2161682087
564	0.2161089342
565	0.2158687288
566	0.2157904902
567	0.2156098901
568	0.2155138671
569	0.2152590131
570	0.2151231549
571	0.2148356581
572	0.2145442356
573	0.2144800425
574	0.2142490438
575	0.2139936485
576	0.2135267092
577	0.2133242973
578	0.2131493084
579	0.2129916767
580	0.2128075186
581	0.2126031326
582	0.212394113
583	0.2121456644
584	0.2118620666
585	0.2118502263
586	0.2116782052
587	0.2113854267
588	0.2111965164
589	0.2111202175
590	0.2110322412
591	0.210818751
592	0.2104694246
593	0.2101793632
594	0.2100376036
595	0.2097289835
596	0.2097024072
597	0.2096264947
598	0.2094525907
599	0.2094181147
600	0.2089965523
601	0.2087435103
602	0.2085737913
603	0.2084376963
604	0.2082554314
605	0.2079381183
606	0.2077283374
607	0.2076235309
608	0.2072346426
609	0.2069313659
610	0.2066131689
611	0.2062670234
612	0.2062068032
613	0.2060458531
614	0.2059532342
615	0.2058257758
616	0.205775301
617	0.2057314865
618	0.2055749839
619	0.2054319719
620	0.2052147696
621	0.2050151884
622	0.2049414632
623	0.2048553201
624	0.2046700533
625	0.2046072352
626	0.2043675719
627	0.2042646648
628	0.2039788577
629	0.203620763
630	0.203611296
631	0.2034558494
632	0.2031886092
633	0.2030063154
634	0.2029599091
635	0.2029388853
636	0.202919208
637	0.2027621843
638	0.2026666039
639	0.2023676265
640	0.2022015737
641	0.2019802669
642	0.2018335366
643	0.2018162891
644	0.2015481326
645	0.201414034
646	0.2012650809
647	0.2009016499
648	0.2007851029
649	0.2004499865
650	0.2004405537
651	0.2001722597
652	0.2000380468
653	0.1997603923
654	0.1995680464
655	0.1993354716
656	0.1992803742
657	0.1991914725
658	0.1988865783
659	0.1986668361
660	0.1985437004
661	0.1984762607
662	0.1982085343
663	0.1978850964
664	0.1977742058
665	0.1974391272
666	0.1972225437
667	0.1969696479
668	0.1968889578
669	0.1967555123
670	0.1966552035
671	0.1965649687
672	0.1965306992
673	0.1964304294
674	0.1963059078
675	0.1960497327
676	0.1959843784
677	0.195780189
678	0.1957613214
679	0.1956784534
680	0.1956183984
681	0.1954722752
682	0.1953866068
683	0.1950048446
684	0.1948924788
685	0.1947976279
686	0.1946209687
687	0.1943548793
688	0.194146721
689	0.1939208754
690	0.1937606451
691	0.1934387643
692	0.1933388243
693	0.1932237731
694	0.1930232347
695	0.1927583241
696	0.1927215123
697	0.1925113866
698	0.1924684261
699	0.1923553491
700	0.1921731642
701	0.1918210494
702	0.191694777
703	0.1916313972
704	0.1912792292
705	0.1912676976
706	0.191071164
707	0.190838555
708	0.1907490897
709	0.1906568863
710	0.1905223708
711	0.1902281479
712	0.190104138
713	0.1900539162
714	0.1897259908
715	0.1896060445
716	0.1895731553
717	0.1893801097
718	0.1892149186
719	0.1888826083
720	0.1886752152
721	0.1885488397
722	0.1883514828
723	0.1881483991
724	0.1880552473
725	0.1880363824
726	0.1879372744
727	0.187623725
728	0.1874872354
729	0.1871709895
730	0.1870917651
731	0.1869155643
732	0.1867755406
733	0.1867285483
734	0.1866891159
735	0.1865570527
736	0.1864744022
737	0.1862147391
738	0.1860289603
739	0.1858520008
740	0.1857418568
741	0.1856364793
742	0.1855648385
743	0.1852763912
744	0.1852663716
745	0.1852494664
746	0.1850014971
747	0.1847018358
748	0.184601101
749	0.1842568236
750	0.1841545772
751	0.1838458518
752	0.1836873772
753	0.1833934339
754	0.1831557098
755	0.1831147865
756	0.1830258506
757	0.1828129161
758	0.1827153696
759	0.1824476051
760	0.1820943033
761	0.1819767902
762	0.1818170061
763	0.1814951613
764	0.181368758
765	0.181134518
766	0.1810027392
767	0.1809616918
768	0.1809155757
769	0.1807244601
770	0.1805436013
771	0.1803974334
772	0.1801881753
773	0.1799953192
774	0.1799169485
775	0.1797923078
776	0.1797787083
777	0.1795346042
778	0.1794120069
779	0.1792082419
780	0.1791231764
781	0.1789868971
782	0.1788502438
783	0.1787595152
784	0.1787122171
785	0.1786573203
786	0.1785277412
787	0.1781033418
788	0.177931064
789	0.1779006146
790	0.1777530167
791	0.1776008877
792	0.1775275188
793	0.1774161256
794	0.1773215523
795	0.1771669221
796	0.1770879614
797	0.1767966832
798	0.1766475196
799	0.1765765133
800	0.1764964032
801	0.1763414878
802	0.1762585345
803	0.1760763768
804	0.1758537787
805	0.1756337509
806	0.1755739764
807	0.1755356396
808	0.1754230028
809	0.1752320164
810	0.1750751912
811	0.1748552641
812	0.1745116293
813	0.1742901086
814	0.1741265361
815	0.1740952868
816	0.173920876
817	0.1738373798
818	0.1736469932
819	0.1734654701
820	0.1734179517
821	0.1733640019
822	0.1732848965
823	0.1730693509
824	0.172884696
825	0.1726376751
826	0.1723484462
827	0.1722055106
828	0.1721050361
829	0.1720232896
830	0.171731259
831	0.1714687749
832	0.1713737219
833	0.1712226073
834	0.1710209949
835	0.1708248102
836	0.1706799188
837	0.170548077
838	0.170402579
839	0.170324236
840	0.1702886237
841	0.1702807261
842	0.1701404841
843	0.1700050288
844	0.1698258117
845	0.1695400599
846	0.1693230438
847	0.169160152
848	0.1688601263
849	0.1687102615
850	0.1686262057
851	0.1683405779
852	0.1682614766
853	0.1681433427
854	0.1679347699
855	0.167744154
856	0.1674946154
857	0.1674744989
858	0.1671905163
859	0.1670465649
860	0.1669438651
861	0.166791933
862	0.1667582788
863	0.1666404207
864	0.166562298
865	0.1664150258
866	0.1663008976
867	0.1660928711
868	0.1658238517
869	0.1657431973
870	0.1656486083
871	0.1654653451
872	0.1654115038
873	0.1652611312
874	0.1651274984
875	0.1649626357
876	0.1648375741
877	0.1647534439
878	0.1646629617
879	0.1644704001
880	0.1643062291
881	0.1641740578
882	0.1640852845
883	0.1639297665
884	0.163794146
885	0.163710656
886	0.1635953579
887	0.1635096058
888	0.1633421202
889	0.1632601869
890	0.1631618839
891	0.1629803324
892	0.1629551436
893	0.1629083501
894	0.1628558686
895	0.1626376695
896	0.1624180966
897	0.1623542494
898	0.1620691615
899	0.1619611629
900	0.1618460497
901	0.1617405512
902	0.1615916964
903	0.1615734589
904	0.1614545418
905	0.1614186892
906	0.1613180844
907	0.1612292464
908	0.1611162496
909	0.1610609579
910	0.1608018673
911	0.1605353249
912	0.1604009207
913	0.1602147696
914	0.1600752541
915	0.1598899842
916	0.1598595641
917	0.1597113815
918	0.1594964862
919	0.1594025133
920	0.1592373055
921	0.159117815
922	0.1589132632
923	0.1588409097
924	0.1586227927
925	0.1586003948
926	0.1583234769
927	0.158235082
928	0.15806859
929	0.1578662251
930	0.1577249202
931	0.1575877003
932	0.1575538282
933	0.1574347462
934	0.1574025777
935	0.1572453933
936	0.1571545947
937	0.1568549182
938	0.1566841856
939	0.1563594262
940	0.1561824799
941	0.1559935655
942	0.1559184194
943	0.15575773
944	0.155597874
945	0.1555454207
946	0.1553569892
947	0.1552026876
948	0.1550300681
949	0.1550081826
950	0.1549214898
951	0.1547469664
952	0.1546061738
953	0.1544873428
954	0.1543271622
955	0.1542092974
956	0.1541510373
957	0.1540270469
958	0.1539325928
959	0.1538162452
960	0.1537258311
961	0.153553159
962	0.1533954971
963	0.1531332434
964	0.1529447791
965	0.1528571629
966	0.1527821211
967	0.1525517997
968	0.1524168915
969	0.1523133551
970	0.1522231277
971	0.1520677117
972	0.1519457068
973	0.1517898836
974	0.1516610628
975	0.1515957178
976	0.1513890237
977	0.1512134637
978	0.1510899298
979	0.1509727633
980	0.1507962179
981	0.1507301963
982	0.1506671075
983	0.1505260119
984	0.1504666917
985	0.150299177
986	0.1501173432
987	0.1500615373
988	0.1498641214
989	0.1497912926
990	0.1496716656
991	0.1494710956
992	0.149297011
993	0.1490485631
994	0.1489587706
995	0.1488956081
996	0.1487963933
997	0.1485763315
998	0.148464569
999	0.1484030005
